,Gene,logFC,P.Value,t,adj.P.Val,Significant
17948,CITED1,-1.3143694471980512,6.376934613618627e-08,-5.854420718860328,1.2607281384126635e-06,True
14288,LYVE1,1.134014500543831,6.362650287866114e-08,5.854924036384211,1.2607281384126635e-06,True
17919,C21orf62,1.3647877447094157,6.54120106459775e-08,5.848711071312561,1.2897463438985607e-06,True
2470,GAP43,-1.2952717830990252,6.65220187392549e-08,-5.844932143925875,1.3052148997891727e-06,True
6194,KIAA1045,-1.0247430741737027,6.687234872508425e-08,-5.843752341127007,1.3096855598905388e-06,True
9711,LOC387895,2.2726617888652587,6.767751633616625e-08,5.841063661828284,1.3230315198441276e-06,True
5348,CAMK1G,-1.1347816613116883,6.995640873930605e-08,-5.833620937486526,1.3592983599981455e-06,True
15832,LEKR1,-1.0396911107987004,7.238938973357537e-08,-5.825933625116665,1.3989467606343964e-06,True
6678,NECAB1,-1.5679700383230522,7.289360930733431e-08,-5.824372295876723,1.4069957801319404e-06,True
8350,ANGPT2,1.6793369944334442,7.470926707407334e-08,5.818836704598181,1.4385794044035251e-06,True
17961,LOC100289255,1.4761668540503248,7.484875316154709e-08,5.818416925371799,1.4404007207093165e-06,True
22487,XLOC_004134,-1.2132169112370135,7.511963670959115e-08,-5.817603901982344,1.443261377924057e-06,True
14962,CLEC2B,1.052675114175325,7.630580188628296e-08,5.814077389279741,1.4606970785743837e-06,True
15587,NPR3,-1.275334126913962,7.682658696946919e-08,-5.812546070107984,1.4696463386884743e-06,True
6659,NELL1,-1.4848781502662334,7.829319051089213e-08,-5.808287876280902,1.492664736591617e-06,True
3520,HS6ST3,-1.2656713199107124,8.061209084422816e-08,-5.801712533420837,1.52658552200876e-06,True
11600,HTR4,-1.2954551594318175,8.060684246677512e-08,-5.80172720443503,1.52658552200876e-06,True
17301,PRSS35,-1.0437605269788977,8.557132623168736e-08,-5.78825305877523,1.6091020782605688e-06,True
10872,UNC13A,-1.3370256857288956,8.757683304206276e-08,-5.7830266289771135,1.640084532393096e-06,True
7020,GLT1D1,-1.0141802950373382,8.987185951692581e-08,-5.777188130404331,1.6752407049988263e-06,True
351,BEX1,-1.3340875253084423,9.158310026383606e-08,-5.7729293598729345,1.6992399401179066e-06,True
3597,WIF1,-1.075748269954543,9.297003934326497e-08,-5.769534670264916,1.7190079897014066e-06,True
21126,XLOC_007709,-1.2163823382646108,9.747557328622079e-08,-5.758840516875508,1.787699591346373e-06,True
10984,DOC2A,-1.2445586106688307,1.0219443715922731e-07,-5.748148682163079,1.8574490334662958e-06,True
9194,KCNE4,1.3703441576720792,1.0335499918430893e-07,5.745593480697939,1.8764167367473855e-06,True
10530,CHAF1B,-1.019791361925324,1.0382545492620403e-07,-5.744565702748442,1.8817630474760594e-06,True
7823,PCP4L1,-1.4780248974821442,1.1460334114810746e-07,-5.722194005358205,2.048175589989575e-06,True
4506,IL2RG,-1.4145274687061686,1.2924606099074603e-07,-5.694905022630417,2.2546023037428673e-06,True
7079,KCNV1,-1.344297882188311,1.3300313242102722e-07,-5.6883931277317785,2.305100209652379e-06,True
9881,MAGEL2,-1.259331564849023,1.3499327709345407e-07,-5.685016555986465,2.335806002782096e-06,True
21356,C6orf222,-1.1848452023295457,1.3801636006025876e-07,-5.6799798445850085,2.377854366666542e-06,True
2444,SLC30A3,-1.3124511996493524,1.3837267384599662e-07,-5.679393346953964,2.382713567890269e-06,True
9838,ENTPD3,-1.6327027657305182,1.3880482003648217e-07,-5.6786840147974615,2.3875917569814198e-06,True
17002,XLOC_013968,-1.1483966662727276,1.394925934125798e-07,-5.6775595514349035,2.398136332623558e-06,True
16460,LOC100131289,-1.0317890708230513,1.4671679611675397e-07,-5.666066779181831,2.4955858003316367e-06,True
15748,SLC10A4,-1.4663733704967532,1.482242830851082e-07,-5.663738751132947,2.514904786001905e-06,True
16779,SFTPD,-1.1144203203993506,1.529333096430914e-07,-5.656613449956073,2.5821581965001954e-06,True
11080,XLOC_005755,-1.0690670109610378,1.5304400632305344e-07,-5.656448556720763,2.582667923642059e-06,True
525,COPG2IT1,-1.0024556498863628,1.5326202748024032e-07,-5.6561241355801135,2.5849872984048946e-06,True
14834,FAR2,-1.189420755517859,1.5922606536797186e-07,-5.647420850381764,2.66178852371263e-06,True
2994,PHYHIP,-1.0854615548327935,1.5959520740019443e-07,-5.64689273195782,2.6665699236449155e-06,True
17409,EGFL6,-1.4402456116948033,1.6678249354936543e-07,-5.636842293944156,2.7664852084093293e-06,True
8774,KIT,-1.0126870617808441,1.688067269076188e-07,-5.634088363176742,2.7928415674040287e-06,True
415,BEX2,-1.118570600762986,1.701969664012679e-07,-5.63221568039177,2.8114926272670823e-06,True
7933,SYP,-1.6030172889983758,1.7826582470435232e-07,-5.621634612007759,2.922211372772418e-06,True
22836,LINC00326,-1.0984797552207786,1.7847850008450284e-07,-5.621362123513856,2.9242034130290353e-06,True
12099,AFF1,1.1681730572516242,1.7978127919332338e-07,5.619699871527478,2.938045561142035e-06,True
12341,GRM7,-1.3834055949659092,1.804543992278877e-07,-5.6188456449688395,2.9460443395575762e-06,True
6789,MAL2,-1.7390787943620118,1.853384274586576e-07,-5.612739614785238,3.0043743066567637e-06,True
12740,LOC375196,-1.015101898652599,1.8854864454313895e-07,-5.608811601570967,3.048709937975755e-06,True
17801,LOC100506293,-1.5382670374123375,1.9561584206375673e-07,-5.600390533894142,3.142391694244024e-06,True
9682,CHRM3,-1.1167252897840898,1.98197831838635e-07,-5.597388179857741,3.177504470456477e-06,True
3310,PRRT1,-1.149410990493509,2.019487101281185e-07,-5.593094308417751,3.223141602442807e-06,True
11438,F13A1,1.0906314074480505,2.0318213355079287e-07,5.591699410315047,3.2379944581765697e-06,True
4844,FGF12,-1.193966643120131,2.0778803946995973e-07,-5.586562945613113,3.2982881277567084e-06,True
17549,FLJ45832,-1.0571723163035713,2.0933491115164948e-07,-5.584862916793865,3.317916971217843e-06,True
16305,RANBP17,-1.0028641148327937,2.156266949949038e-07,-5.5780728722927355,3.400837942692485e-06,True
4264,CAMKK1,-1.0695880413863659,2.2347612286725448e-07,-5.569869259742115,3.4988355400593084e-06,True
12639,DLEC1,1.047589822818182,2.2634515198593325e-07,5.566941137834268,3.536849720267286e-06,True
2007,CPLX1,-1.0034756502256474,2.2997661819684308e-07,-5.563286641648663,3.583122832323811e-06,True
14766,SLCO1A2,1.1048041066282481,2.3102398870433926e-07,5.562243142016469,3.5933785157889767e-06,True
4931,GPR158,-1.3858464981558445,2.367434940641073e-07,-5.556625374664417,3.6671807289119082e-06,True
2848,XLOC_006260,-1.0881582760243482,2.3823563293702089e-07,-5.555181670581008,3.6885130813801304e-06,True
18264,ODZ3,-1.0457456318879865,2.3997948762735067e-07,-5.5535056176283915,3.7101407051014017e-06,True
20920,LOC100288814,-1.0473017290681823,2.5779069248021326e-07,-5.537039933373514,3.928705660221017e-06,True
17203,RBM47,1.0540318214301951,2.605926596946069e-07,5.534551688433932,3.962478592973509e-06,True
14786,ANXA8L2,-1.1122003825519489,2.6285363586517375e-07,-5.532562913456326,3.9925874235581315e-06,True
21888,XLOC_003527,-1.0540932589204557,2.689688089679041e-07,-5.527266836926857,4.070056316835077e-06,True
3032,CREG2,-1.3114732624107166,2.717819765023562e-07,-5.524870008201972,4.10109021182143e-06,True
6661,C2orf55,-1.0186813140714293,2.7664701287204715e-07,-5.520781815958481,4.1685468167850034e-06,True
11010,SRD5A1,-1.14321602862013,2.781446900666666e-07,-5.51953746757898,4.185216537213258e-06,True
13292,LOC284395,-1.0098808216006496,2.79623691561314e-07,-5.518315065751116,4.201558794045412e-06,True
13898,XLOC_l2_009303,-1.0947529919821424,3.2575990489033623e-07,-5.483059319887081,4.748013516075414e-06,True
13038,LY86-AS1,-1.3140500229756489,3.2657051855341296e-07,-5.48248468574106,4.755507142620738e-06,True
8827,ASB2,-1.0463664778538941,3.3543946639623917e-07,-5.476287340944937,4.8629422629871685e-06,True
13392,PARM1,-1.3913351889951313,3.3707067031039404e-07,-5.475165012345675,4.884023082004265e-06,True
4246,GPRASP2,-1.1949354690876621,3.411571758062449e-07,-5.472376547805307,4.923221862287151e-06,True
2270,STXBP1,-1.0279816819983782,3.525210098784728e-07,-5.464791038276956,5.0644308091811045e-06,True
7704,NMNAT2,-1.5637003105827914,3.560387908431235e-07,-5.462491388543588,5.09670879529112e-06,True
7056,SLC17A6,-1.2593061749642835,3.657798474455295e-07,-5.456237758987809,5.2036441268525884e-06,True
1025,TUBB3,-1.0315548606152607,3.711720819914755e-07,-5.452845819119943,5.266342499021024e-06,True
12853,PTPRR,-1.4187738697353884,3.7507335780545844e-07,-5.45042172090104,5.305270422574562e-06,True
1252,RPL13AP17,-1.1066308309318185,3.891617922982734e-07,-5.441868785201327,5.465985243839147e-06,True
4437,C2orf80,-1.0999692574837638,3.98488266690889e-07,-5.436372074484718,5.5798793520051154e-06,True
18197,FLJ25917,-1.3538001003668843,4.024597075120026e-07,-5.434069599534349,5.615879694208369e-06,True
11645,GABRD,-1.3021388603084407,4.072050975943813e-07,-5.431347428291945,5.6796258829685876e-06,True
19681,XLOC_009323,-1.0641763478603892,4.096515796840522e-07,-5.429956130320991,5.703829286573087e-06,True
2781,C11orf41,-1.2879178771217532,4.1245595122404234e-07,-5.428371279501553,5.737895453281561e-06,True
9317,FGF9,-1.3605619605487007,4.148043260329493e-07,-5.427052227433184,5.76806362337972e-06,True
5143,PCDH8,-1.7728761224740257,4.161698227271792e-07,-5.426288604317068,5.780537989360727e-06,True
16701,C17orf72,-1.002231491219157,4.2354321495382665e-07,-5.422207137375067,5.8692295186690105e-06,True
8313,RNF175,-1.0940208402938314,4.2392216203005824e-07,-5.421999259710547,5.869409994788204e-06,True
7987,FLT1,1.0135419012077937,4.3559817400368094e-07,5.415681806808177,6.0077340593456946e-06,True
13478,ADCY2,-1.1628249797646095,4.410595408694644e-07,-5.412783584946834,6.067405690862959e-06,True
347,VSNL1,-1.5550114168668863,4.4197644534250964e-07,-5.412300452855444,6.072207437510796e-06,True
17173,LOC100506476,-1.1048050129626636,4.5709853717695823e-07,-5.404470885080175,6.258523718581656e-06,True
11165,CTXN3,-1.9625210882922062,4.583446413964843e-07,-5.403837061955292,6.272907890784649e-06,True
4816,CBLN2,-1.0143497171038973,4.881490035419332e-07,-5.389159696157822,6.6075190015296265e-06,True
6391,LOC147670,-1.1424174416948052,5.216157543633704e-07,-5.373689948111164,6.9635594673228984e-06,True
22929,XLOC_010972,-1.0150765622662345,5.296559255609657e-07,-5.370118346267419,7.056213493353728e-06,True
20874,XLOC_004590,-1.106053052733766,5.444679022017166e-07,-5.363675355405359,7.214593268331709e-06,True
18481,LOC100507673,-1.0180965797142854,5.596731523017486e-07,-5.357237342354077,7.39469305018126e-06,True
4540,CHI3L1,1.017505357962662,5.651153069723878e-07,5.354974622500249,7.448191884829171e-06,True
13527,CHRM2,-1.2306469880535733,5.845667411858814e-07,-5.347057919510912,7.648002062497177e-06,True
15266,XLOC_l2_012021,-1.245956948402597,6.016117601597924e-07,-5.340329746024642,7.819977822498436e-06,True
5385,XK,-1.096730785051946,6.083668118658389e-07,-5.337714808371846,7.894986781818817e-06,True
10650,SNORA73A,1.0596527872483765,6.167422204387858e-07,5.334511786805926,7.987521369267764e-06,True
24057,LOC727916,-1.0840226180438313,6.241670331463934e-07,-5.331707693746585,8.064147572829763e-06,True
4701,CAMKV,-1.0859232918847415,6.335403576786858e-07,-5.328213960579286,8.159076074445764e-06,True
9795,DACH2,-1.4299013343376625,6.360884067831625e-07,-5.32727296406691,8.188489602569765e-06,True
8733,GUCA1B,-1.84775228092857,6.543474669672937e-07,-5.32063585078748,8.389874796287283e-06,True
3173,ZNF365,-1.1747562393149344,6.60806096777303e-07,-5.318331465406804,8.45578762848659e-06,True
17366,XLOC_l2_011669,-1.0644790139675315,6.709269888747371e-07,-5.31476436207969,8.564798170752712e-06,True
19220,CYB5RL,-1.1175990418847404,6.739432215317852e-07,-5.313711469952002,8.599880090190798e-06,True
12766,CHRFAM7A,-1.2424759328944779,6.788359524018759e-07,-5.312013302930219,8.64855335705011e-06,True
14750,DLX6,-1.328808646672079,7.172126068189317e-07,-5.299094416131836,9.076205296548847e-06,True
8154,HLA-DRB5,1.1831940233246758,7.425104293098354e-07,5.290943022852454,9.326442667290336e-06,True
11139,XLOC_003775,1.3084215795990266,7.58170250032683e-07,5.286032187714125,9.482300826919481e-06,True
338,SYN2,-1.0692738851136365,8.041814936362981e-07,-5.2721571252628,9.94914859847761e-06,True
389,SULT4A1,-1.1467435385064881,8.486302250962871e-07,-5.259471585860986,1.043067341804172e-05,True
21368,XLOC_008498,-1.0637989595064932,8.567266156098448e-07,-5.2572310359479975,1.051005347180261e-05,True
2287,HPRT1,-1.1896069587938332,8.576413575312737e-07,-5.256979198030403,1.0517253344649564e-05,True
25625,XLOC_005540,-1.005645596930195,8.793088327884455e-07,-5.251089450074135,1.0729641443839229e-05,True
8895,TRIM36,-1.1995367062467546,9.160505761053785e-07,-5.241419061419607,1.112297595816069e-05,True
18638,XLOC_000111,-1.1620046703149347,9.464425664004588e-07,-5.233702237747592,1.1435735416243585e-05,True
27246,TNFSF14,1.1205630158279223,9.86164475197416e-07,5.2239737248614775,1.185544008131533e-05,True
9620,KIAA1239,-1.4891499701412316,9.89115037664408e-07,-5.223266442013344,1.1879749310473308e-05,True
13823,XLOC_013896,1.098241740681818,1.030498714251241e-06,5.213557854319405,1.232143076898241e-05,True
7424,GNG2,-1.2021778899107165,1.0352715445136674e-06,-5.212462749428035,1.236927789497149e-05,True
6430,LOC100289580,-1.3604582622467554,1.0386461539877977e-06,-5.211691433061509,1.2391137456276888e-05,True
7252,POMZP3,1.0248602367418833,1.0447571865328374e-06,5.210300878445174,1.2454779094750434e-05,True
837,CHN1,-1.158073298246757,1.0505003009673715e-06,-5.209001267831206,1.2504656643797135e-05,True
12239,PCDH11Y,-1.1192418351785705,1.0523644385349812e-06,-5.208580923704287,1.252219999562396e-05,True
16199,DRGX,-1.221327855149351,1.063834710745814e-06,-5.206010394148848,1.2640435882921592e-05,True
21658,LOC613126,-1.021580175209416,1.07964952912492e-06,-5.202510291697524,1.2799392791695283e-05,True
16693,LOC441052,-1.27929287912987,1.0915101822780472e-06,-5.199918031865853,1.2916136719837608e-05,True
8273,ZBED6,1.2135177677970796,1.1129470524813135e-06,5.195301849869872,1.3140721915200787e-05,True
22368,XLOC_005188,-1.0823531060324676,1.139831356758061e-06,-5.189633874676908,1.3374465956400364e-05,True
