Gene,logFC,P.Value,t,adj.P.Val,Significant
POU2F1,0.2646454242792231,0.014454696296288353,2.490067004217768,0.0384800124540022,False
APOBEC3G,-0.4158292112581172,0.01445759320785812,-2.489991161322318,0.0384800124540022,False
FZD1,0.2312755358587637,0.014456894400709595,2.4900094552703935,0.0384800124540022,False
SETP20,0.22962745532792272,0.014467089062334607,2.4897426494795196,0.03850209201258455,False
XLOC_l2_012173,-0.4063616784301942,0.014475989782730197,-2.489509845198535,0.03852258417502984,False
KIF23,-0.3117795920129858,0.014481864139661071,-2.489356267667638,0.03853502003984134,False
SNORD6,0.3127606073490252,0.014489718149954766,2.489151021751288,0.03855272109567462,False
ZNF771,-0.29092064629870507,0.0145237780537246,-2.4882620979709147,0.03864013932355989,False
XLOC_000932,0.28726004135064986,0.014526270129688811,2.4881971309890587,0.0386435646206499,False
XLOC_008923,0.5874675799529219,0.014528918016930292,2.488128113029453,0.03864740381286267,False
XLOC_l2_012467,0.4922205479058439,0.014542577486663658,2.4877722537101272,0.038680531114515394,False
XLOC_000070,-0.4846587496055199,0.014546210491618543,-2.487677656293721,0.03868377953835056,False
XLOC_001901,-0.5311712169074672,0.014545257363433952,-2.487702472122234,0.03868377953835056,False
XLOC_006304,0.4801557692110392,0.01455106580580414,2.487551264990595,0.03869348400615027,False
PTGDR,-0.40767666951298676,0.014553735244263314,-2.4874817914814598,0.038697374772976974,False
KIF25,0.4830002335081174,0.014560422866504042,2.487307792746175,0.03871194808200312,False
TTLL5,0.18703383409740404,0.014571329438563832,2.48702417867667,0.038737735011943955,False
C8orf86,-0.46750024486526076,0.01457718625243525,-2.486871956732568,0.03875009404856835,False
C12orf11,0.16639290790259587,0.014583072367884769,2.486719028372416,0.038759317445049166,False
GATM,0.3037978216883097,0.014582912510165644,2.4867231809382773,0.038759317445049166,False
LOC153577,-0.34456427025974,0.014597199990244407,-2.4863522010859618,0.03879365219841278,False
LOC100505912,0.436940681599026,0.014601885925094558,2.4862305997857757,0.03880289102692457,False
LOC442459,-0.2938467027256477,0.014609979642457957,-2.486020647837232,0.03882118337861768,False
XLOC_l2_000006,-0.48053687940259815,0.014617892905202086,-2.485815477530567,0.038838993241583804,False
SNORD36B,0.5341223844902596,0.014629608169055364,2.4855119136907566,0.0388669010404386,False
XLOC_000266,0.431212173012987,0.01464364756620521,2.4851484137986817,0.03890097829776939,False
FAM189A1,-0.29290779177435233,0.014674932822971248,-2.4843395148206366,0.038980859895745436,False
SPATS1,-0.38045388354707876,0.014682141983851305,-2.4841533364842836,0.03899678049693243,False
PLIN2,0.3274572599025989,0.014684445292576226,2.4840938702206223,0.038999669259528545,False
UBAP2,-0.13374449081006468,0.01469876802280655,-2.4837242766963943,0.03903447666983726,False
XLOC_008945,0.5521680766834414,0.014709120161914196,2.48345734362885,0.03905873477313198,False
GOLGA8IP,0.14346215101136295,0.014714402930166895,2.4833211906183945,0.03906952872039016,False
PAAF1,-0.13989790038960948,0.014745199213954412,-2.4825283463922023,0.039148058494054255,False
CADPS2,-0.3024745990503259,0.014765986112689972,-2.481994029023288,0.03920000285460893,False
LOC439914,-0.5138137973279222,0.014767883722350463,-2.4819452854000423,0.039201796426396596,False
BMS1P1,0.23186118044805148,0.014783893298108149,2.4815342727078438,0.03924104724501981,False
DENND4C,0.17177130134578,0.014786126521562276,2.481476970977264,0.03924372787389078,False
KANSL3,-0.2596624202808444,0.014798783388320674,-2.481152357789558,0.03927407107026201,False
LOC400464,0.16053955861039082,0.014813630084162255,2.4807718980638898,0.0393102202911676,False
FLJ45482,0.4062946260454545,0.014817112070240964,2.480682718479658,0.03931620804080481,False
LOC100506594,0.5891138186574674,0.014822576369727268,2.480542806272686,0.03932745429996285,False
LOC100128843,0.28110070398539033,0.014832350505492541,2.4802926566974937,0.0393468787080295,False
LOC51145,0.5456898981639604,0.014831589281938375,2.4803121334044764,0.0393468787080295,False
XLOC_009828,-0.5290675315860378,0.014864178099386897,-2.4794791134743384,0.039428049729480046,False
APRT,-0.1471664217370101,0.01488089192248941,-2.4790525163328283,0.03946912053521788,False
