Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Thyroid hormone synthesis,1/75,0.9702488221518812,0.9999957837905712,0,0,0.2814007874248838,0.0084990699494215,ADCY2
KEGG_2021_Human,Cushing syndrome,3/155,0.9749811571397672,0.9999957837905712,0,0,0.4102056733491247,0.0103934361876736,WNT10B;CRH;ADCY2
KEGG_2021_Human,AMPK signaling pathway,2/120,0.9756679125510136,0.9999957837905712,0,0,0.3525126375260184,0.0086834452110078,PCK1;CAMKK2
KEGG_2021_Human,Human cytomegalovirus infection,5/225,0.9784449302946427,0.9999957837905712,0,0,0.4716971697169717,0.0102786461618802,GNG3;GNG2;CCL2;ADCY2;CCR5
KEGG_2021_Human,Hepatitis B,3/162,0.9805577140432328,0.9999957837905712,0,0,0.3920013255182983,0.0076964651305889,EGR2;STAT4;TLR2
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/89,0.9845853381263928,0.9999957837905712,0,0,0.2364582296126655,0.0036733083611281,TLR2
KEGG_2021_Human,Tight junction,3/169,0.984935580329438,0.9999957837905712,0,0,0.3753322841310356,0.0056971839904028,VASP;EPB41L4B;TUBA3C
KEGG_2021_Human,Vascular smooth muscle contraction,2/133,0.9855779415274504,0.9999957837905712,0,0,0.3173128431766439,0.0046096249990305,ADRA1D;ADCY2
KEGG_2021_Human,Proteoglycans in cancer,4/205,0.9856908215117846,0.9999957837905712,0,0,0.4129899950795473,0.0059522356491816,WNT10B;MET;CD44;TLR2
KEGG_2021_Human,Small cell lung cancer,1/92,0.9866119511394762,0.9999957837905712,0,0,0.2286267948918551,0.0030815409499002,LAMB1
KEGG_2021_Human,GnRH signaling pathway,1/93,0.987226497429626,0.9999957837905712,0,0,0.2261298157055097,0.0029070763373185,ADCY2
KEGG_2021_Human,Yersinia infection,2/137,0.9877410393015532,0.9999957837905712,0,0,0.3078460038986355,0.0037971947414884,CCL2;PIP5K1B
KEGG_2021_Human,TGF-beta signaling pathway,1/94,0.98781285821355,0.9999957837905712,0,0,0.2236865349962901,0.0027428474101189,GREM2
KEGG_2021_Human,mRNA surveillance pathway,1/98,0.9899014013310552,0.9999957837905712,0,0,0.2144171813778073,0.0021763205457393,PABPC1L2A
KEGG_2021_Human,NOD-like receptor signaling pathway,3/181,0.9903328309359846,0.9999957837905712,0,0,0.3498069783791117,0.003398094770629,CCL2;CXCL1;GBP2
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,2/143,0.990404910314252,0.9999957837905712,0,0,0.2946528555431131,0.0028408716851864,WNT10B;DLX5
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,1/100,0.9908074504206352,0.9999957837905712,0,0,0.2100633940721564,0.0019399484249642,CCL2
KEGG_2021_Human,Progesterone-mediated oocyte maturation,1/100,0.9908074504206352,0.9999957837905712,0,0,0.2100633940721564,0.0019399484249642,ADCY2
KEGG_2021_Human,Protein digestion and absorption,1/103,0.9920165126586916,0.9999957837905712,0,0,0.203852844533213,0.0016339877776725,COL27A1
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.9923831263843004,0.9999957837905712,0,0,0.2018630568168525,0.0015434510178466,EGR2
KEGG_2021_Human,T cell receptor signaling pathway,1/104,0.9923831263843004,0.9999957837905712,0,0,0.2018630568168525,0.0015434510178466,PAK3
KEGG_2021_Human,Pathways in cancer,14/531,0.9924172112361056,0.9999957837905712,0,0,0.5587062110466365,0.0042526952790945,RET;WNT10B;ADCY2;LAMB1;IL2RG;GNG3;GNG2;FGF9;IL2RA;IL3RA;KIT;STAT4;MET;HES5
KEGG_2021_Human,Pathways of neurodegeneration,12/475,0.992739529394168,0.9999957837905712,0,0,0.5351103619027551,0.0038993257150387,WNT10B;CHRM3;ATXN3L;GRIN2A;UCHL1;TUBB2A;TUBA3C;CHRM1;TUBB3;BDNF;NEFL;NEFM
KEGG_2021_Human,Spliceosome,2/150,0.9928031811216972,0.9999957837905712,0,0,0.280612849691797,0.0020268219692209,HSPA1B;HSPA1A
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.9930666534625632,0.9999957837905712,0,0,0.1979971835393522,0.0013775641895227,ADCY2
KEGG_2021_Human,Drug metabolism,1/108,0.9936888799574172,0.9999957837905712,0,0,0.1942758288890481,0.0012299834596017,HPRT1
