GeneSymbol,logFC,P.Value,adj.P.Val
SPSB2,0.05726490289864597,3.0442094842475747e-06,5.1648041992976564e-06
IKBKG,0.022579575798232984,3.07268576623376e-06,5.21258633905318e-06
HES7,0.08133135600760222,3.0731812043818247e-06,5.212896130885457e-06
AMBN,-0.018781179735298956,3.085256272543754e-06,5.232845855029935e-06
LOC729375///LOC649580,-0.030425167447951505,3.087573693627234e-06,5.236243438897234e-06
CCDC111,0.033155071197082595,3.0959123335086725e-06,5.2498507301911585e-06
LOC441193,0.03581924167930265,3.113486344037867e-06,5.279114411583946e-06
ANKDD1A,0.047961338148245936,3.1226984354132044e-06,5.294195414358087e-06
GPRC6A,-0.02454628920956626,3.1259706010432294e-06,5.2992038754612795e-06
COLEC11,0.07304506688139717,3.1277102164910626e-06,5.30161357416408e-06
TNFSF11,-0.03852859333863232,3.1331316195800458e-06,5.310262948401331e-06
TFAP2E,0.03979212231949866,3.1463278470107825e-06,5.3320865699773905e-06
C1orf122,-0.02756950285584755,3.1705980014446987e-06,5.372670845645156e-06
ZNF285A,0.0283366149191843,3.183568604990889e-06,5.394101396397375e-06
FAM148A,0.04705855220773987,3.1928420372145328e-06,5.40926389875386e-06
BVES,0.023317971433630503,3.203608252379104e-06,5.42695211117672e-06
EEA1,-0.032253487900063695,3.209857717142536e-06,5.436986074249158e-06
KIAA1450,0.03626390540976782,3.2139042325667925e-06,5.443286932766849e-06
TMEM54,0.04496722748752188,3.2284269645815176e-06,5.467327940831953e-06
QPRT,0.03954537854070885,3.2369374207957867e-06,5.481183333008941e-06
HIC2,0.034742318440752006,3.2505391837173967e-06,5.5036562647293946e-06
IDE,0.034079147715629136,3.2724455559770847e-06,5.540184165884602e-06
SERPINA13,0.023877717275882483,3.27534302627873e-06,5.544526228150015e-06
NTSR2,0.08056157193821656,3.284020555783835e-06,5.5586509437868795e-06
RSPH10B,0.02940473436720157,3.2908870901181125e-06,5.569707746265308e-06
CPSF4,-0.021040374577688512,3.2969683253941068e-06,5.579433347655875e-06
TRIM11,0.02737010490629957,3.302565078104751e-06,5.588337171155318e-06
C14orf153,-0.03460873829750976,3.3162637366661966e-06,5.610947193400904e-06
MEX3C,0.04480552062880707,3.3395281152593263e-06,5.649735686566641e-06
RAB17,-0.048671034740421205,3.345285838344802e-06,5.6589019602251325e-06
SYCE2,0.046935283857536474,3.3583812007851583e-06,5.680477499988214e-06
PIGL,0.02696749237797617,3.3604871059393104e-06,5.683462613759532e-06
GSX2,0.02795359894231559,3.371416380479168e-06,5.7013682326268375e-06
ZFYVE1,0.02434427847617609,3.3840514121394765e-06,5.722154513636959e-06
ABCA4,0.03155183034129854,3.416825719077351e-06,5.776986990940034e-06
PRR6,-0.029856745291323192,3.4184203862326666e-06,5.779096816088177e-06
TMED9,0.019918448498652153,3.4220921667962664e-06,5.784717373452321e-06
CUL4B,-0.06425924713649478,3.428303715972487e-06,5.794629589508624e-06
CD3G,0.020196120430054768,3.4492209237580624e-06,5.829393252890908e-06
AMAC1L2,0.02294790077772734,3.4516547458132367e-06,5.832914986738848e-06
ZNF354A,0.02087350703648449,3.471948307110312e-06,5.8666139312194515e-06
KIAA1656,0.033753095629091845,3.50745462277986e-06,5.92600870262634e-06
TUBE1,0.03938508271927264,3.5097382470144313e-06,5.9292658301144046e-06
MPHOSPH8,-0.059180996664033286,3.514215889429866e-06,5.936228442114474e-06
SGSM2,-0.03943490533471134,3.548195398326154e-06,5.99301926998855e-06
MMP12,0.03273253237982742,3.5762848699220263e-06,6.039851127230227e-06
TPTE,-0.022072224103485246,3.590183086113087e-06,6.062708851539166e-06
TIPIN,-0.037232139020353605,3.593095125602071e-06,6.067011568855295e-06
PITX1,-0.024010342161413598,3.6204080570038426e-06,6.112510624307196e-06
AMD1,0.036189548974197655,3.6243685994779596e-06,6.11857748370993e-06
RHBDL2,-0.06710616150433532,3.6270698783151655e-06,6.122517468825356e-06
DCPS,-0.029434276500396345,3.682039001552456e-06,6.214676179668807e-06
SPANXF1,0.03127682975074994,3.6827938726784695e-06,6.215320750892649e-06
KIF5C,-0.03460995024846929,3.6869438923760163e-06,6.221694483296602e-06
ZNF586,0.024250633734273257,3.697352889781671e-06,6.23862784075757e-06
RPS11,0.04266090412034858,3.698036617669866e-06,6.239149761754647e-06
SAR1P3,-0.052326444593692206,3.7003648391984312e-06,6.242445806884254e-06
hCG_2020170,-0.029684345362219026,3.7132083678342714e-06,6.2634785141806146e-06
GPR173,0.021576768390838295,3.7358929836873826e-06,6.301105332000662e-06
NDUFA10,-0.02961950093327306,3.742691309988056e-06,6.311932799275475e-06
JARID1A,0.0677169753988186,3.7628696833422553e-06,6.345320826069151e-06
SAMD4B,-0.033505808898522706,3.7897877224781178e-06,6.390066033327467e-06
KRTAP6-1,-0.01539850293615061,3.798952843952564e-06,6.404871528897766e-06
KIAA1553,-0.03437838830005013,3.830499284466603e-06,6.457404155422506e-06
LOC349114,-0.02064616825031025,3.8321036797072696e-06,6.459455363002421e-06
XRCC5,0.03650010720725478,3.853935220006429e-06,6.495597906967445e-06
TMEM22,-0.03190477228900349,3.8958253736248686e-06,6.565537421731878e-06
CYP21A2,0.017645084314144233,3.901108259843906e-06,6.573775714636349e-06
EYA4,-0.03146376185960961,3.9090778373756536e-06,6.58653923984104e-06
MCTP2,0.04138825614222211,3.981427144789046e-06,6.7077648307314384e-06
IFNG,-0.049687336473494964,3.988853988143049e-06,6.719597943632811e-06
ZFPM1,0.050516690909876726,4.003632318207319e-06,6.743811680037073e-06
STT3B,-0.07199775580786934,4.024377844673249e-06,6.778070790745405e-06
ASCL3,0.023116180295128415,4.048192814943396e-06,6.817492174655558e-06
GAS8,0.022466423099178137,4.109327287220706e-06,6.919748374519587e-06
CDON,-0.05010691266471337,4.13383693573905e-06,6.960317136218604e-06
LOC285957,0.03468295618704335,4.163309311826217e-06,7.009232811908676e-06
